#{"t_start": 1775191533.8347805, "env_id": "None"}
r,l,t
2.708803,500,1998.178876
1.0675323,500,2014.611595
1.0748868,500,2031.482236
0.014397391,500,2049.67593
0.3051033,500,2067.914155
0.74401766,500,2084.555287
2.166908,500,2098.785578
0.34819102,500,2116.450185
0.1823844,500,2134.612401
0.13640022,500,2157.267151
6.4314313,500,2179.197048
909.7875,500,2201.084545
4136.718,500,2220.309371
0.4563349,500,2241.782973
0.0060207355,500,2257.39811
0.043287836,500,2271.286948
7.492364,500,2295.314697
453.80508,500,2318.789364
0.13777132,500,2338.104387
4.2065296,500,2357.505769
17.304964,500,2372.26541
20.440577,500,2392.107629
3840.3032,500,2410.238528
87.98104,500,2433.518826
1.149095,500,2449.893014
12.1944475,500,2466.349403
5.2856655,500,2490.70902
0.89199793,500,2508.487378
2.9775472,500,2524.669695
0.20330343,500,2539.669223
0.09531579,500,2558.956871
1.5618088,500,2576.913409
4.5981116,500,2595.547589
0.34549278,500,2621.386605
0.4969186,500,2644.026938
11.8096075,500,2665.323727
0.11519306,500,2681.917921
1.54828,500,2697.347283
5.5691805,500,2716.725832
0.18092926,500,2734.641494
0.34480608,500,2752.011868
1.5560776,500,2768.018514
11.21693,500,2781.290272
0.045850836,500,2796.477244
0.54526955,500,2811.96675
17.325531,500,2828.618448
0.68796664,500,2847.963193
4206.743,500,2862.547394
6.450374e-05,500,2885.914596
0.15296078,500,2905.240188
39.14173,500,2927.723723
1.8371725,500,2953.334162
5.4489617,500,2972.274779
18.893473,500,2991.303121
3.5531037,500,3014.872156
4403.9346,500,3033.921749
3319.1702,500,3052.515493
58.95054,500,3071.453831
4.11198,500,3097.501352
8.180446,500,3119.520612
38.27711,500,3138.363337
10.377704,500,3155.787805
29.16646,500,3176.432473
2.4986365,500,3194.525065
58.985405,500,3217.818628
0.21524264,500,3237.237635
3.3340151,500,3256.377079
9.450068,500,3275.858409
0.038726475,500,3295.914509
17.134079,500,3313.896949
0.35963976,500,3331.106136
4.6080093,500,3351.618236
3.6904318,500,3368.548656
1.7006419,500,3385.454016
0.052227877,500,3402.882359
0.09802329,500,3423.947184
0.20826668,500,3441.254016
0.7801321,500,3457.907433
0.029311208,500,3474.60137
0.024732484,500,3491.392802
17.551231,500,3510.552535
0.058962997,500,3530.517224
3.6171336,500,3547.684297
3996.103,500,3565.79631
0.037074506,500,3581.970969
0.31983092,500,3601.276473
0.52630544,500,3617.586806
3.9106061,500,3639.53236
3.3261492,500,3657.663094
18.632462,500,3676.746189
5.417375,500,3695.325238
0.45148277,500,3714.317149
0.3896407,500,3731.813469
1.5465404,500,3755.138062
16.134985,500,3771.374646
5.3716707,500,3788.357579
16.15,500,3805.481651
3593.3135,500,3823.87984
4295.8267,500,3842.001055
7.0727634,500,3858.127902
5.487822,500,3880.879538
10.346671,500,3899.061498
28.50278,500,3918.947177
3442.1453,500,3938.509025
5.1856565,500,3957.103879
3.739009,500,3974.230141
0.83904403,500,3993.267955
29.315474,500,4013.209048
1.9738004,500,4031.679805
9.233596,500,4054.597259
21.631302,500,4070.897856
6.351528,500,4088.868785
4.434534,500,4107.12722
1.4057932,500,4124.630303
584.5985,500,4143.905132
0.8637345,500,4161.671074
7.9915004,500,4181.615778
0.021667922,500,4199.273365
4319.5273,500,4215.336973
3.4787989,500,4236.412689
10.148108,500,4257.226193
1.8043506,500,4272.422914
4155.4717,500,4288.829117
1.6327629,500,4304.373255
8.633954,500,4324.505261
4.184731,500,4341.576002
15.918307,500,4360.939879
14.347775,500,4379.756873
0.93095493,500,4398.499935
8.7746525,500,4418.444609
0.051616687,500,4438.172139
8.774506,500,4457.373577
4861.7905,500,4479.344133
29.145227,500,4498.640121
3.0725884,500,4519.28987
0.09071059,500,4535.567634
23.312887,500,4554.276484
15.497006,500,4572.419575
0.013873357,500,4588.781412
17.810818,500,4606.412299
10.476196,500,4624.404023
3863.8638,500,4644.30184
0.1319022,500,4666.329876
6.58939,500,4688.400688
3.715822,500,4710.224683
143.3669,500,4728.551177
38.232513,500,4746.981443
9.246781,500,4764.34907
0.26306665,500,4788.011944
1.604701,500,4809.742646
6.5602956,500,4825.455063
1.1863394,500,4843.937183
2699.5312,500,4866.684774
0.83666927,500,4883.613476
0.2221253,500,4902.426026
15.834271,500,4919.573773
14.695141,500,4941.167296
5.276135,500,4960.796963
29.64773,500,4977.37106
728.0102,500,4994.391189
4.5027947,500,5007.9186
2827.9658,500,5032.042753
4111.191,500,5048.257779
0.34625754,500,5066.057119
3.4434056,500,5081.033754
1.1630125,500,5103.705751
4006.1836,500,5120.806972
2.644186,500,5137.510374
8.521252,500,5153.693143
2.0225315,500,5172.009266
24.176924,500,5185.788648
2382.5273,500,5205.087569
46.48705,500,5224.367892
0.87189615,500,5244.900736
0.34743375,500,5263.972297
3.247564,500,5286.263757
6.9569764,500,5306.602165
4644.43,500,5332.758553
26.3028,500,5352.015593
17.953627,500,5371.507658
9.382309,500,5389.278684
7.714817,500,5409.820048
7.9827747,500,5424.881157
6.003921,500,5442.342899
388.30017,500,5458.702184
4.535175,500,5477.724303
0.064933054,500,5490.464435
0.23299019,500,5507.303969
6.5240564,500,5522.381931
0.9717778,500,5535.819526
0.3350269,500,5552.955479
0.80245095,500,5574.400844
24.171112,500,5593.008408
0.4584,500,5610.993894
21.211412,500,5638.797324
1.7716508,500,5658.83213
6.1691866,500,5676.925936
5.118643,500,5694.866583
0.20643853,500,5716.68615
0.30241948,500,5733.902959
1.1304759,500,5749.496034
3.2439122,500,5771.647486
13.7943945,500,5796.196336
0.47742292,500,5813.152923
0.079572804,500,5830.466982
426.8151,500,5851.18104
0.92016554,500,5868.020164
1.0478595,500,5883.431061
3.092836,500,5901.667887
7.91337,500,5921.306985
2.2721868,500,5947.780699
18.32038,500,5963.525406
0.03849951,500,5982.421248
0.25517586,500,6003.02445
0.05042305,500,6022.865457
1.4201714,500,6042.054266
1.2590327,500,6056.292619
0.07309561,500,6070.108363
1.437857,500,6086.498257
15.34009,500,6103.990782
0.8739383,500,6128.926672
0.17798883,500,6145.276441
0.6835871,500,6165.831886
3.0169184,500,6181.971525
14.498379,500,6198.459648
0.25318313,500,6217.077604
15.284759,500,6236.755354
10.409753,500,6256.815684
29.3029,500,6274.254493
0.6934447,500,6292.748925
4.7735896,500,6310.977807
3.5695884,500,6327.328416
5.031561,500,6348.732263
0.4011802,500,6372.840735
6.4742393,500,6399.499048
554.91595,500,6418.133639
1.409854,500,6439.598221
4623.846,500,6456.615896
1.2376623,500,6473.219381
2956.1543,500,6487.696184
10.596082,500,6506.196843
14.474855,500,6523.187055
1.2848668,500,6541.354095
25.440159,500,6558.934774
0.12474646,500,6577.643588
0.27205026,500,6594.683498
27.699404,500,6611.318923
5.415734,500,6633.390792
32.283752,500,6652.549399
340.58084,500,6670.874524
0.08506656,500,6688.391768
3960.315,500,6711.382985
4.356745,500,6729.573572
22.584625,500,6747.495946
1.446157,500,6765.096094
4566.741,500,6785.623578
8.100423,500,6809.623
3.4715269,500,6831.421913
5.539696,500,6847.213422
19.69322,500,6866.980262
4203.631,500,6884.753464
2.1017249,500,6901.085288
3.416068,500,6916.98727
4.001372,500,6937.696394
10.280672,500,6955.786581
20.169867,500,6974.877986
0.7630466,500,6993.405586
14.684216,500,7012.240577
396.37903,500,7032.513736
0.051586628,500,7050.044373
9.358886,500,7068.305017
2.1167278,500,7091.619318
1.4806992,500,7109.374807
7.4515657,500,7123.487567
23.562593,500,7139.211275
0.24393617,500,7157.980502
4.300077,500,7174.528177
3946.1606,500,7193.365043
2.5298858,500,7210.657055
0.44353667,500,7226.53523
4305.084,500,7244.289716
7.3452954,500,7263.36065
0.34250435,500,7283.19471
29.236311,500,7303.545912
0.5598448,500,7322.53045
7.858116,500,7341.537346
21.264484,500,7363.130681
2826.9653,500,7378.08917
5.7805333,500,7397.179873
3452.655,500,7414.083844
4.1108475,500,7430.472822
5.0085783,500,7448.695405
5.5204067,500,7467.792695
371.47235,500,7491.712932
13.349625,500,7509.276764
17.181213,500,7533.46081
1.2371416,500,7552.787012
10.707377,500,7571.295128
11.27473,500,7590.150553
111.23127,500,7606.948092
0.82330835,500,7622.929664
4.5099854,500,7642.281713
1.3889323,500,7656.802555
0.20135848,500,7675.508821
5.4638925,500,7695.975591
2.150243,500,7711.018596
4358.0444,500,7725.317149
4456.6943,500,7739.915528
22.138994,500,7762.16601
13.201027,500,7783.99395
0.377525,500,7802.258628
0.1013778,500,7818.959526
4409.263,500,7837.404576
7.48377,500,7859.175404
19.948795,500,7876.930815
14.226925,500,7894.299768
1.5472587,500,7913.828011
0.29736874,500,7931.690269
10.20071,500,7951.454535
7.6976852,500,7971.379215
0.30237612,500,7989.75919
4.9007874,500,8010.272616
6.4867115,500,8033.147764
4422.5566,500,8051.012239
2.0008776,500,8063.04861
0.10937109,500,8079.731762
0.36202094,500,8096.272182
5.1395535,500,8108.951166
5.265794,500,8125.066706
4.569971,500,8144.711457
3.306519,500,8165.748843
0.9010239,500,8185.374707
7.119753,500,8204.744547
6.919355,500,8225.286701
0.45667636,500,8245.630418
0.782352,500,8263.550276
4571.6973,500,8278.330405
2.2400386,500,8296.144624
1.499806,500,8310.672693
12.241983,500,8327.82841
4420.4995,500,8346.717776
15.603817,500,8366.125141
4075.4954,500,8380.889751
18.774797,500,8396.626842
1.2799565,500,8414.717474
0.64748394,500,8436.631544
1.2679495,500,8452.09191
4442.9956,500,8471.365196
0.10714869,500,8490.951947
4.530143,500,8509.510453
0.8297997,500,8523.357184
0.5111673,500,8542.129762
420.4776,500,8556.109595
2.5367193,500,8573.672972
0.17564662,500,8591.045628
0.18585475,500,8613.695034
0.026036996,500,8630.353126
0.1013806,500,8648.772703
1.71236,500,8665.611733
4682.5166,500,8680.496893
0.28990173,500,8696.51193
0.27526468,500,8718.369094
13.528468,500,8739.330069
12.279993,500,8752.525354
0.06201638,500,8770.506652
0.019387588,500,8787.227056
0.027564293,500,8807.457442
0.7240857,500,8824.951844
0.12824073,500,8842.593623
0.73009783,500,8857.861353
0.2871682,500,8873.50663
0.09479014,500,8889.796941
1.489046,500,8907.201959
0.0036240388,500,8924.8713
0.9231831,500,8947.61841
1.8195106,500,8968.844268
0.37020937,500,8988.718129
2.5475817,500,9006.572751
1.1906052,500,9025.966387
0.2105592,500,9049.680071
3.6503797,500,9066.22349
0.018000586,500,9079.882491
0.037015,500,9093.847628
13.287424,500,9111.749519
3582.3828,500,9134.054443
1.2163807,500,9152.323092
0.016362019,500,9171.41906
8.945916,500,9189.682616
0.57230026,500,9207.18513
0.69051147,500,9224.535712
2.3995745,500,9243.620126
0.25810415,500,9262.806342
0.26630044,500,9282.258267
10.484778,500,9298.191416
8.521355,500,9320.554243
7.9560184,500,9340.036942
1.5311677,500,9358.238574
27.494165,500,9377.840869
1.0404574,500,9394.278654
6.928842,500,9412.318042
68.517204,500,9433.286288
0.39750117,500,9452.275325
8.87904,500,9472.33827
4.5306334,500,9489.360791
3.6369977,500,9509.817915
0.27357292,500,9529.338475
1.7675954,500,9546.36878
0.07457438,500,9566.224755
3976.4668,500,9581.326698
2.696139,500,9599.755995
1.449345,500,9618.455101
1.8601333,500,9634.698366
2.7156224,500,9650.733307
3.1386642,500,9666.848441
11.673451,500,9682.66222
0.4576139,500,9702.103888
0.4734726,500,9721.264083
0.09237447,500,9738.41
2.7055614,500,9751.625806
4.6796165,500,9768.334706
1.9055836,500,9786.659845
0.26368037,500,9804.155658
0.102566555,500,9823.088699
1.197923,500,9840.517064
7.866913,500,9856.132923
0.79681295,500,9876.070899
2.2018328,500,9893.384636
7.8881626,500,9912.532378
1.2794956,500,9932.205586
0.28093967,500,9952.189934
4491.293,500,9973.90096
9.301022,500,9995.945854
39.939735,500,10015.053159
5.6229925,500,10032.34507
13.730002,500,10050.280085
1.560208,500,10068.596173
5.4644217,500,10090.238252
5.2971134,500,10113.99474
1.9774716,500,10132.013622
6.526625,500,10150.733247
1.6087806,500,10167.691619
4464.176,500,10188.022578
4303.7686,500,10205.131891
0.5686898,500,10224.037532
4.440532,500,10238.058688
2.0790188,500,10253.60246
113.62723,500,10269.604334
15.69894,500,10291.629432
13.123216,500,10311.49552
15.351838,500,10329.9705
24.473385,500,10348.240216
15.983283,500,10367.077631
21.299255,500,10386.677051
3.9887614,500,10401.229268
8.336351,500,10421.873891
6.937066,500,10439.041694
1193.7999,500,10454.576341
0.017594622,500,10472.030537
0.26112935,500,10488.258543
13.33561,500,10503.949889
4323.029,500,10524.792095
2.0659335,500,10544.282582
0.23717186,500,10561.246457
936.56506,500,10575.464455
34.345123,500,10596.289442
2.6515436,500,10619.965419
24.031067,500,10638.1253
0.07751554,500,10652.593434
803.16565,500,10669.271617
0.34647343,500,10683.889161
3.0852523,500,10704.718227
6.155497,500,10723.568773
3.4618807,500,10742.40576
20.104403,500,10758.767599
1.8112673,500,10770.458001
2.3172932,500,10783.351577
1.0330656,500,10801.171196
12.132649,500,10820.15951
3.782351,500,10839.612789
5.0802655,500,10856.39886
32.034935,500,10876.949933
13.983479,500,10904.982982
9.84024,500,10920.632005
0.23631158,500,10935.335279
0.03625174,500,10953.177764
1.685005,500,10968.728632
0.029171241,500,10985.204551
2.4064283,500,11005.999341
2.6152236,500,11030.963062
0.4258985,500,11050.182684
0.1981607,500,11069.92907
0.4977352,500,11086.971832
1.8191167,500,11105.700038
0.5649043,500,11127.6045
2.6468413,500,11144.850489
1.5322344,500,11162.987151
0.1896393,500,11183.260919
0.5477067,500,11198.478362
0.06720421,500,11213.170859
1.3955623,500,11234.157405
0.02291875,500,11248.593129
8.985152,500,11269.20217
4746.082,500,11287.002188
0.19700883,500,11303.393076
0.024073916,500,11325.500623
12.028431,500,11345.593775
1.0050116,500,11361.275609
4359.858,500,11381.07089
0.07759562,500,11400.219085
0.0656195,500,11420.479133
2.4993,500,11444.441293
0.29071292,500,11463.89323
1.6841258,500,11484.422892
0.6180645,500,11504.367192
0.90288514,500,11520.492455
9.458099,500,11542.655122
4.318975,500,11559.792905
2.4996052,500,11582.661809
0.11034989,500,11598.989688
4472.7344,500,11617.358926
5.56686,500,11634.263858
0.026723519,500,11654.38773
4007.366,500,11672.894385
0.91806334,500,11696.506864
2.7521617,500,11717.707947
5.4749227,500,11735.955439
3.2574666,500,11755.305046
0.05661282,500,11776.615536
2.6114607,500,11795.215348
4.549711,500,11814.083939
0.071064495,500,11834.738891
4112.248,500,11854.833982
4.1817307,500,11874.279194
10.546692,500,11895.96708
0.41414705,500,11915.798275
3.8435545,500,11933.06371
0.29181272,500,11953.246112
0.22237675,500,11967.837801
3.8568454,500,11984.47066
0.31464857,500,12003.502226
0.28665933,500,12020.636889
0.26641047,500,12042.073916
2.657654,500,12058.598113
0.29182753,500,12074.840613
0.5327778,500,12092.50246
0.049925704,500,12109.408773
2.5318077,500,12129.445827
6.045741,500,12145.736633
0.033316493,500,12165.567829
0.72567534,500,12185.011001
0.32654986,500,12204.993888
1.2122546,500,12219.835751
2.796016,500,12235.900673
0.12693271,500,12252.009692
4426.428,500,12270.591078
6.7013226,500,12288.956113
0.792346,500,12313.189485
2.4473336,500,12330.266514
0.26035511,500,12347.963313
2.569757,500,12369.429682
1.0416312,500,12388.719565
1.8370388,500,12409.485048
9.465894,500,12430.968865
2.963677,500,12453.078295
4554.4736,500,12467.873089
4.153049,500,12486.776463
2.6308272,500,12506.196099
2.4370716,500,12524.686615
15.668397,500,12544.266143
4.3609915,500,12566.326549
0.33892888,500,12586.308428
1.5578218,500,12603.805847
4601.972,500,12620.949859
0.19993849,500,12642.122547
10.215685,500,12661.950734
14.745754,500,12682.801322
9.879844,500,12699.377002
0.024498673,500,12715.783359
1.377616,500,12736.818247
4617.513,500,12755.957666
21.78476,500,12772.636364
0.90024924,500,12792.193231
13.030032,500,12811.155173
1.4133044,500,12831.051179
20.126545,500,12849.511338
38.11032,500,12868.841589
11.39741,500,12889.947789
5.685444,500,12915.393546
1.8234905,500,12933.608243
3.9207087,500,12956.326869
12.474881,500,12977.083443
13.399777,500,12998.189026
3.5198166,500,13011.542173
2.7132866,500,13025.247994
0.48826683,500,13046.345288
0.41631094,500,13065.275115
0.78404504,500,13080.977571
478.4016,500,13100.242729
4280.06,500,13118.320541
0.024731953,500,13137.576305
30.738068,500,13158.299571
15.1448345,500,13173.520015
15.6986685,500,13189.092329
0.14314768,500,13204.507186
7.018343,500,13220.969783
0.6081891,500,13238.485615
0.18839937,500,13255.793178
2.8164613,500,13274.737433
2.475406,500,13294.45409
9.300778,500,13314.901349
2861.9639,500,13338.960556
4628.048,500,13357.100304
23.792381,500,13376.005317
1.0638213,500,13392.433891
13.9423685,500,13414.288836
41.308784,500,13433.213617
3876.392,500,13452.007377
2.1344075,500,13471.879238
15.982435,500,13491.876853
4.978597,500,13513.624411
3175.5898,500,13532.912735
38.489216,500,13550.076344
4819.691,500,13569.471734
15.595772,500,13593.724392
15.338216,500,13615.10409
4186.4004,500,13631.439157
7.434455,500,13657.187701
1.1265767,500,13677.226717
4528.625,500,13694.184168
2.3463874,500,13712.203028
3.0132825,500,13734.630907
15.119488,500,13754.226336
12.89401,500,13774.969799
0.061267152,500,13791.754846
4.8955054,500,13812.172955
4371.736,500,13836.38134
3.685255,500,13856.848909
14.053634,500,13879.958919
545.8862,500,13901.672149
8.022527,500,13922.402853
6.39072,500,13938.117179
29.847471,500,13956.643514
649.7635,500,13974.876041
20.801462,500,13992.472493
22.387283,500,14013.278859
6.9051356,500,14033.986132
6.1351695,500,14054.704625
32.222073,500,14077.576037
21.797327,500,14097.399295
4.3796625,500,14112.74135
2.37187,500,14129.826725
16.27064,500,14147.129142
10.527919,500,14163.569183
19.718388,500,14183.420649
29.346104,500,14199.25847
2.8033538,500,14215.958688
11.948622,500,14232.472124
4524.1646,500,14253.320857
6.177448,500,14271.017973
11.997771,500,14286.795784
40.732197,500,14308.783374
7.5853176,500,14325.72129
1.7047453,500,14339.974002
2.397978,500,14356.102982
0.55737215,500,14377.035524
107.422585,500,14397.633844
29.990986,500,14417.070137
29.369068,500,14438.290471
2.6880786,500,14458.927608
0.41965243,500,14482.22286
0.11989822,500,14500.888307
15.205405,500,14516.149787
1.4625251,500,14533.120646
18.954332,500,14551.888949
10.719546,500,14571.208462
0.9102696,500,14592.144422
16.910301,500,14610.539721
5.2858214,500,14628.278981
3.8963745,500,14650.129596
4860.348,500,14666.823699
1.5407885,500,14681.855364
10.947639,500,14697.821146
7.2346854,500,14717.313261
0.07954747,500,14741.397504
2.9451368,500,14761.612211
18.26478,500,14781.824353
22.420542,500,14799.220872
26.813326,500,14817.276759
9.755783,500,14834.640351
1.5573243,500,14855.5477
1.9381568,500,14875.673476
1.9087987,500,14894.544902
3.2862701,500,14912.068326
0.16111343,500,14931.857128
21.745224,500,14952.003725
11.946447,500,14971.524032
4716.0273,500,14986.650501
1.803177,500,15002.016627
10.547386,500,15019.830152
4572.787,500,15041.210747
45.25615,500,15065.871125
1.57779,500,15086.232406
42.268982,500,15107.076133
4.820481,500,15123.181166
3.8354092,500,15140.207054
0.5892322,500,15157.602326
15.839492,500,15174.606944
1.3223245,500,15199.169875
1908.9829,500,15216.871489
0.11320082,500,15243.079225
4.733411,500,15261.144448
1.3615055,500,15279.064629
19.947126,500,15297.904403
4.5291243,500,15318.114077
0.28868642,500,15339.018748
6.2623568,500,15356.858702
5.6248484,500,15378.828872
16.215351,500,15396.889477
11.074,500,15416.035555
1.3182027,500,15436.035831
7.2519174,500,15455.596589
0.22432823,500,15474.730602
0.75702494,500,15496.405175
1.7536252,500,15515.517803
3.5146987,500,15531.502432
5.0346484,500,15548.317176
4624.6826,500,15570.984771
2.9130063,500,15586.95857
2.383222,500,15602.086022
2.0288548,500,15623.10445
4796.032,500,15646.576127
30.135075,500,15668.891067
24.018135,500,15684.737812
4345.714,500,15702.711726
1.061207,500,15723.060175
1.3233188,500,15741.481662
8.8316765,500,15759.441404
8.063717,500,15773.461277
7.9496117,500,15787.526391
8.146502,500,15808.418315
17.723715,500,15826.720212
2.7210186,500,15844.19075
3.0605385,500,15865.693908
2.0370655,500,15885.196452
0.28961277,500,15904.23024
10.359766,500,15922.466079
4.9988117,500,15943.307406
18.4409,500,15961.164207
1.4647563,500,15977.829178
7.4939322,500,15994.056767
19.797588,500,16012.070548
3860.186,500,16033.08102
0.14300872,500,16050.318959
0.24735929,500,16078.475765
2.844528,500,16096.403739
3.6651473,500,16121.589942
0.16971053,500,16136.952065
0.25756276,500,16152.817111
4.629717,500,16172.00538
0.19085416,500,16193.853419
0.07221455,500,16211.09772
3.3088732,500,16229.00789
8.2756,500,16246.080003
0.6599357,500,16266.917366
8.365598,500,16283.874649
0.16052666,500,16299.218982
9.895921,500,16317.475026
1.126085,500,16334.527029
15.989629,500,16350.324866
1.0814191,500,16367.273461
0.02665675,500,16386.315125
0.6929174,500,16403.719776
0.31916788,500,16422.469605
2.2552495,500,16441.566076
0.11554037,500,16457.091121
0.08191544,500,16478.826158
0.06626531,500,16495.261226
2.6040785,500,16512.139968
15.611967,500,16529.329558
1.178119,500,16550.549659
0.1315267,500,16570.198986
0.15708658,500,16589.064616
7.427277,500,16610.041677
0.5029261,500,16629.607254
0.116456464,500,16646.905411
23.634241,500,16664.981709
2.9257042,500,16691.560334
0.06628062,500,16713.553686
11.056379,500,16731.282531
0.99813294,500,16747.837537
4614.799,500,16766.67344
424.63617,500,16784.361426
4704.96,500,16804.672362
14.335827,500,16821.754592
0.6053203,500,16841.639069
4.2292895,500,16864.534571
0.75606376,500,16886.810016
5.499825,500,16909.72968
0.010587616,500,16929.794905
1.2506584,500,16947.019372
0.9787316,500,16971.372467
2.408361,500,16988.839003
8.959652,500,17006.829804
12.011993,500,17022.482276
2.4834824,500,17040.906523
1.3034024,500,17056.341394
32.633343,500,17072.609657
10.170835,500,17089.186661
0.2622831,500,17109.313051
4.1549425,500,17129.196379
1.6308814,500,17150.346943
460.1222,500,17171.135407
2.0149448,500,17192.528136
1.6785922,500,17216.589826
9.491196,500,17235.791679
8.248485,500,17252.425282
24.909962,500,17272.540531
13.831527,500,17285.735235
4288.494,500,17300.774933
1.8456023,500,17319.032013
0.9643352,500,17337.331914
4.7260013,500,17354.389457
26.274921,500,17375.328557
5.417656,500,17393.825491
7.881971,500,17414.378263
14.563566,500,17435.358652
8.873008,500,17454.347366
0.22626497,500,17472.241447
8.97657,500,17491.257744
12.20792,500,17512.948398
1.4633958,500,17527.377378
4.312947,500,17545.697317
1.4349172,500,17568.740847
0.7205508,500,17586.339621
5.0361304,500,17606.483091
10.302006,500,17624.112654
9.0357,500,17639.519463
4426.9727,500,17658.712737
0.07211378,500,17672.671259
0.9463901,500,17689.893724
6.23496,500,17707.767203
0.9341448,500,17728.665161
0.065599844,500,17747.846715
0.6406838,500,17762.290017
10.905954,500,17778.519219
5.391465,500,17797.826548
27.89722,500,17820.486578
2.6671016,500,17835.428491
14.358185,500,17850.985953
1.0512713,500,17868.110949
8.039341,500,17882.978815
3988.0186,500,17904.689337
0.0052343723,500,17923.187201
1.3956786,500,17940.952885
6.6872745,500,17958.378417
0.51205206,500,17980.127365
10.913222,500,18001.297943
12.217421,500,18019.998668
23.385052,500,18036.852088
14.568245,500,18050.110358
4.8743963,500,18064.337492
0.040370416,500,18089.095596
4.757224,500,18107.680544
1.1587641,500,18127.134273
3.7652583,500,18142.078679
18.085102,500,18165.037923
12.06839,500,18182.213891
13.915871,500,18202.854535
2.2625127,500,18221.113839
6.45441,500,18246.402158
11.07744,500,18267.474061
9.460791,500,18287.183386
0.82363194,500,18308.253313
0.16514602,500,18327.179241
13.59135,500,18343.228111
14.083342,500,18358.600477
0.78798753,500,18378.27538
2.726443,500,18394.34782
3.680082,500,18419.516281
6.463744,500,18437.959547
15.744277,500,18457.288785
0.26103103,500,18475.139235
4.0101748,500,18495.638446
0.7730055,500,18520.110031
9.50506,500,18537.096878
0.021149663,500,18555.352911
0.43624425,500,18575.345284
0.040320728,500,18593.184426
2.3746202,500,18607.353931
0.26791438,500,18619.66607
0.024189929,500,18637.061169
0.29681888,500,18650.863016
0.17546037,500,18669.365982
0.33616558,500,18683.782012
1.6391205,500,18703.403205
3.0679574,500,18722.130498
1.3853285,500,18737.693213
4.0328956,500,18755.30392
